20181022_08-59-42,23.312
20181022_09-01-13,20.312
20181022_09-02-44,19.062
20181022_09-04-15,19.625
20181022_09-05-46,20.375
20181022_09-07-17,18.5
20181022_09-08-48,19.062
20181022_09-10-19,19.75
20181022_09-11-50,20.25
20181022_09-13-21,18.0
20181022_09-14-51,18.562
20181022_09-16-22,19.25
20181022_09-17-53,19.75
20181022_09-19-24,20.125
20181022_09-20-55,17.687
20181022_09-22-26,18.187
20181022_09-23-57,18.812
20181022_09-25-28,19.375
20181022_09-26-59,19.75
20181022_09-28-30,20.0
20181022_09-30-01,20.187
20181022_09-31-32,17.562
20181022_09-33-03,18.062
20181022_09-34-34,18.687
20181022_09-36-05,19.187
20181022_09-37-36,19.562
20181022_09-39-07,19.812
20181022_09-40-38,20.062
20181022_09-42-09,17.562
20181022_09-43-40,18.062
20181022_09-45-11,18.687
20181022_09-46-41,19.187
20181022_09-48-12,19.5
20181022_09-49-43,19.812
20181022_09-51-14,20.0
20181022_09-52-45,20.125
20181022_09-54-16,17.687
20181022_09-55-47,18.187
20181022_09-57-18,18.812
20181022_09-58-49,19.25
20181022_10-00-20,19.625
20181022_10-01-51,19.875
20181022_10-03-22,20.062
20181022_10-04-53,17.812
20181022_10-06-24,18.312
20181022_10-07-55,18.875
20181022_10-09-26,19.312
20181022_10-10-57,19.687
20181022_10-12-28,19.937
20181022_10-13-59,20.125
20181022_10-15-30,18.0
20181022_10-17-01,18.437
20181022_10-18-32,19.0
20181022_10-20-03,19.437
20181022_10-21-34,19.75
20181022_10-23-05,20.0
20181022_10-24-35,20.187
20181022_10-26-06,18.125
20181022_10-27-37,18.562
20181022_10-29-08,19.125
20181022_10-30-39,19.562
20181022_10-32-10,19.875
20181022_10-33-41,20.125
20181022_10-35-12,18.187
20181022_10-36-43,18.625
20181022_10-38-14,19.187
20181022_10-39-45,19.625
20181022_10-41-16,19.937
20181022_10-42-47,20.125
20181022_10-44-18,18.312
20181022_10-45-49,18.75
20181022_10-47-20,19.25
20181022_10-48-51,19.687
20181022_10-50-22,20.0
20181022_10-51-53,20.25
20181022_10-53-24,18.375
20181022_10-54-55,18.812
20181022_10-56-26,19.312
20181022_10-57-57,19.75
20181022_10-59-28,20.062
20181022_11-00-59,18.437
20181022_11-02-29,18.875
20181022_11-04-00,19.375
20181022_11-05-31,19.75
20181022_11-07-02,20.062
20181022_11-08-33,18.5
20181022_11-10-04,18.937
20181022_11-11-35,19.437
20181022_11-13-06,19.812
20181022_11-14-37,20.125
20181022_11-16-08,18.562
20181022_11-17-39,19.0
20181022_11-19-10,19.5
20181022_11-20-41,19.875
20181022_11-22-12,20.187
20181022_11-23-43,18.625
20181022_11-25-14,19.062
20181022_11-26-45,19.5
20181022_11-28-16,19.937
20181022_11-29-47,20.25
20181022_11-31-18,18.687
20181022_11-32-49,19.062
20181022_11-34-20,19.562
20181022_11-35-51,19.937
20181022_11-37-22,20.25
20181022_11-38-53,18.687
20181022_11-40-23,19.125
20181022_11-41-54,19.625
20181022_11-43-25,20.0
20181022_11-44-56,20.312
20181022_11-46-27,18.687
20181022_11-47-58,19.125
20181022_11-49-29,19.625
20181022_11-51-00,20.062
20181022_11-52-31,18.687
20181022_11-54-02,19.062
20181022_11-55-33,19.562
20181022_11-57-04,20.0
20181022_11-58-35,20.25
20181022_12-00-06,18.75
20181022_12-01-37,19.125
20181022_12-03-08,19.625
20181022_12-04-39,20.062
20181022_12-06-10,18.687
20181022_12-07-41,19.125
20181022_12-09-11,19.625
20181022_12-10-42,20.0
20181022_12-12-13,20.312
20181022_12-13-44,18.75
20181022_12-15-15,19.187
20181022_12-16-46,19.687
20181022_12-18-17,20.062
20181022_12-19-48,18.687
20181022_12-21-19,19.125
20181022_12-22-50,19.625
20181022_12-24-21,20.062
20181022_12-25-52,18.687
20181022_12-27-23,19.125
20181022_12-28-54,19.625
20181022_12-30-25,20.0
20181022_12-31-56,20.312
20181022_12-33-27,18.75
20181022_12-34-58,19.187
20181022_12-36-29,19.687
20181022_12-38-00,20.125
20181022_12-39-31,18.687
20181022_12-41-02,19.125
20181022_12-42-33,19.625
20181022_12-44-04,20.062
20181022_12-45-35,18.75
20181022_12-47-05,19.187
20181022_12-48-36,19.687
20181022_12-50-07,20.062
20181022_12-51-38,18.75
20181022_12-53-09,19.187
20181022_12-54-40,19.687
20181022_12-56-11,20.062
20181022_12-57-42,18.75
20181022_12-59-13,19.187
20181022_13-00-44,19.625
20181022_13-02-15,20.062
20181022_13-03-46,18.75
20181022_13-05-17,19.187
20181022_13-06-48,19.687
